Code_recycling,Area,Year,Recycling_Rates,Per_Capita_Recycling,Per_Capita_Reuse,Area_km2,Population,Population_Density,Reuse_Facility_Density,Resource_Recovery_Efficiency,Reuse_Coverage,Number of Reuse Organisations,Number of Charity Shops - 2007,Re-use Activity Weight (tonnes),London_Status,Region_and_Borough,Postcode,recycling_ranking,Code_reuse
E09000008,Croydon,2021,39,0.100 %/person,NaN,86.5,389900,"4,508",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,B,00AH
E09000008,Croydon,2022,37,0.095 %/person,NaN,86.5,391500,"4,526",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,B,00AH
E09000009,Ealing,2003,15,0.041 %/person,NaN,55.5,361700,"6,517",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,E,00AJ
E09000009,Ealing,2004,15,0.042 %/person,NaN,55.5,361000,"6,505",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,E,00AJ
E09000009,Ealing,2005,19,0.053 %/person,NaN,55.5,360200,"6,490",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,E,00AJ
E09000009,Ealing,2006,25,0.070 %/person,NaN,55.5,359200,"6,472",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,D,00AJ
E09000009,Ealing,2007,29,0.081 %/person,0.112 kg,55.5,358100,"6,452",3.6%,72.1%,37.8%,2,21,40,Outer London,West,W5,D,00AJ
E09000009,Ealing,2008,35,0.098 %/person,NaN,55.5,356700,"6,427",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,C,00AJ
E09000009,Ealing,2009,38,0.107 %/person,NaN,55.5,355000,"6,396",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,B,00AJ
E09000009,Ealing,2010,40,0.120 %/person,NaN,55.5,334100,"6,020",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,B,00AJ
E09000009,Ealing,2011,41,0.121 %/person,NaN,55.5,339300,"6,114",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,B,00AJ
E09000009,Ealing,2012,41,0.120 %/person,NaN,55.5,340300,"6,132",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,B,00AJ
E09000009,Ealing,2013,40,0.117 %/person,NaN,55.5,342100,"6,164",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,B,00AJ
E09000009,Ealing,2014,40,0.117 %/person,NaN,55.5,343000,"6,180",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,B,00AJ
E09000009,Ealing,2015,43,0.125 %/person,NaN,55.5,344300,"6,204",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,A,00AJ
E09000009,Ealing,2016,51,0.148 %/person,NaN,55.5,344800,"6,213",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,A,00AJ
E09000009,Ealing,2017,49,0.143 %/person,NaN,55.5,342700,"6,175",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,A,00AJ
E09000009,Ealing,2018,53,0.155 %/person,NaN,55.5,342000,"6,162",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,A,00AJ
E09000009,Ealing,2019,48,0.140 %/person,NaN,55.5,341800,"6,159",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,A,00AJ
E09000009,Ealing,2020,49,0.143 %/person,NaN,55.5,342600,"6,173",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,A,00AJ
E09000009,Ealing,2021,48,0.140 %/person,NaN,55.5,342900,"6,178",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,A,00AJ
E09000009,Ealing,2022,48,0.140 %/person,NaN,55.5,343300,"6,186",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,West,W5,A,00AJ
E12000006,East,2003,23,0.004 %/person,NaN,19116.0,5700000,298,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,E,
E12000006,East,2004,30,0.005 %/person,NaN,19116.0,5734200,300,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,C,
E12000006,East,2005,34,0.006 %/person,NaN,19116.0,5768605,302,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,C,
E12000006,East,2006,38,0.007 %/person,NaN,19116.0,5803216,304,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,B,
E12000006,East,2007,41,0.007 %/person,NaN,19116.0,5838036,305,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,B,
E12000006,East,2008,44,0.007 %/person,NaN,19116.0,5873064,307,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2009,46,0.008 %/person,NaN,19116.0,5908302,309,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2010,49,0.008 %/person,NaN,19116.0,5943752,311,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2011,50,0.008 %/person,NaN,19116.0,5979415,313,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2012,49,0.008 %/person,NaN,19116.0,6015291,315,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2013,49,0.008 %/person,NaN,19116.0,6051383,317,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2014,49,0.008 %/person,NaN,19116.0,6087691,318,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2015,49,0.008 %/person,NaN,19116.0,6124217,320,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2016,49,0.008 %/person,NaN,19116.0,6160963,322,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2017,49,0.008 %/person,NaN,19116.0,6197928,324,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2018,49,0.008 %/person,NaN,19116.0,6235116,326,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2019,49,0.008 %/person,NaN,19116.0,6272527,328,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2020,46,0.007 %/person,NaN,19116.0,6310162,330,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2021,46,0.007 %/person,NaN,19116.0,6348023,332,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000006,East,2022,45,0.007 %/person,NaN,19116.0,6386111,334,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2003,19,0.004 %/person,NaN,15627.0,4400000,282,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,E,
E12000004,East Midlands,2004,26,0.006 %/person,NaN,15627.0,4421999,283,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,D,
E12000004,East Midlands,2005,32,0.007 %/person,NaN,15627.0,4444109,284,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,C,
E12000004,East Midlands,2006,36,0.008 %/person,NaN,15627.0,4466330,286,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,B,
E12000004,East Midlands,2007,42,0.009 %/person,NaN,15627.0,4488662,287,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,B,
E12000004,East Midlands,2008,44,0.010 %/person,NaN,15627.0,4511105,289,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2009,46,0.010 %/person,NaN,15627.0,4533661,290,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2010,46,0.010 %/person,NaN,15627.0,4556329,292,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2011,47,0.010 %/person,NaN,15627.0,4579110,293,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2012,47,0.010 %/person,NaN,15627.0,4602006,294,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2013,46,0.010 %/person,NaN,15627.0,4625016,296,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2014,45,0.010 %/person,NaN,15627.0,4648141,297,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2015,45,0.010 %/person,NaN,15627.0,4671382,299,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2016,46,0.010 %/person,NaN,15627.0,4694739,300,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2017,44,0.009 %/person,NaN,15627.0,4718212,302,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2018,44,0.009 %/person,NaN,15627.0,4741804,303,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2019,44,0.009 %/person,NaN,15627.0,4765513,305,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,A,
E12000004,East Midlands,2020,41,0.009 %/person,NaN,15627.0,4789340,306,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,B,
E12000004,East Midlands,2021,42,0.009 %/person,NaN,15627.0,4813287,308,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,B,
E12000004,East Midlands,2022,41,0.008 %/person,NaN,15627.0,4837353,310,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,Part of England,N/A,B,
E09000010,Enfield,2003,16,0.045 %/person,NaN,82.2,355200,"4,321",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,E,00AK
E09000010,Enfield,2004,24,0.068 %/person,NaN,82.2,354900,"4,318",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,D,00AK
E09000010,Enfield,2005,27,0.076 %/person,NaN,82.2,354600,"4,314",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,D,00AK
E09000010,Enfield,2006,30,0.085 %/person,NaN,82.2,354100,"4,308",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,C,00AK
E09000010,Enfield,2007,28,0.079 %/person,0.139 kg,82.2,353600,"4,302",2.4%,59.6%,25.5%,2,21,49,Outer London,North,N1,D,00AK
E09000010,Enfield,2008,27,0.077 %/person,NaN,82.2,352700,"4,291",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,D,00AK
E09000010,Enfield,2009,31,0.088 %/person,NaN,82.2,351700,"4,279",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,C,00AK
E09000010,Enfield,2010,32,0.104 %/person,NaN,82.2,307600,"3,742",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,C,00AK
E09000010,Enfield,2011,35,0.112 %/person,NaN,82.2,313900,"3,819",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,C,00AK
E09000010,Enfield,2012,39,0.123 %/person,NaN,82.2,317300,"3,860",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,B,00AK
E09000010,Enfield,2013,39,0.122 %/person,NaN,82.2,320300,"3,897",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,B,00AK
E09000010,Enfield,2014,39,0.120 %/person,NaN,82.2,324400,"3,946",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,B,00AK
E09000010,Enfield,2015,36,0.110 %/person,NaN,82.2,328700,"3,999",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,B,00AK
E09000010,Enfield,2016,37,0.111 %/person,NaN,82.2,332100,"4,040",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,B,00AK
E09000010,Enfield,2017,36,0.108 %/person,NaN,82.2,332700,"4,047",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,B,00AK
E09000010,Enfield,2018,33,0.099 %/person,NaN,82.2,333900,"4,062",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,C,00AK
E09000010,Enfield,2019,33,0.099 %/person,NaN,82.2,333800,"4,061",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,C,00AK
E09000010,Enfield,2020,33,0.098 %/person,NaN,82.2,335400,"4,080",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,C,00AK
E09000010,Enfield,2021,31,0.092 %/person,NaN,82.2,336500,"4,094",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,C,00AK
E09000010,Enfield,2022,34,0.101 %/person,NaN,82.2,337800,"4,109",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N1,C,00AK
E92000001,England,2003,18,0.000 %/person,NaN,130278.0,49925500,383,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,E,
E92000001,England,2004,23,0.000 %/person,NaN,130278.0,50194600,385,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,E,
E92000001,England,2005,27,0.001 %/person,NaN,130278.0,50606000,388,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,D,
E92000001,England,2006,31,0.001 %/person,NaN,130278.0,50965200,391,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,C,
E92000001,England,2007,35,0.001 %/person,NaN,130278.0,51381100,394,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,C,
E92000001,England,2008,38,0.001 %/person,NaN,130278.0,51815900,398,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,B,
E92000001,England,2009,40,0.001 %/person,NaN,130278.0,52196400,401,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,B,
E92000001,England,2010,41,0.001 %/person,NaN,130278.0,52642500,404,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,B,
E92000001,England,2011,43,0.001 %/person,NaN,130278.0,53107200,408,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,A,
E92000001,England,2012,43,0.001 %/person,NaN,130278.0,53506800,411,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,A,
E92000001,England,2013,43,0.001 %/person,NaN,130278.0,53918700,414,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,A,
E92000001,England,2014,44,0.001 %/person,NaN,130278.0,54370300,417,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,A,
E92000001,England,2015,43,0.001 %/person,NaN,130278.0,54808700,421,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,A,
E92000001,England,2016,44,0.001 %/person,NaN,130278.0,55289000,424,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,A,
E92000001,England,2017,43,0.001 %/person,NaN,130278.0,55619500,427,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,A,
E92000001,England,2018,44,0.001 %/person,NaN,130278.0,55924500,429,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,A,
E92000001,England,2019,44,0.001 %/person,NaN,130278.0,56230100,432,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,A,
E92000001,England,2020,42,0.001 %/person,NaN,130278.0,56326000,432,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,B,
E92000001,England,2021,43,0.001 %/person,NaN,130278.0,56554900,434,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,A,
E92000001,England,2022,42,0.001 %/person,NaN,130278.0,57112500,438,NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Non-London,England,N/A,B,
E09000011,Greenwich,2003,12,0.041 %/person,NaN,47.3,290800,"6,148",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,E,00AL
E09000011,Greenwich,2004,19,0.065 %/person,NaN,47.3,290300,"6,137",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,E,00AL
E09000011,Greenwich,2005,22,0.076 %/person,NaN,47.3,289600,"6,123",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,E,00AL
E09000011,Greenwich,2006,24,0.083 %/person,NaN,47.3,288700,"6,104",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,D,00AL
E09000011,Greenwich,2007,31,0.108 %/person,0.803 kg,47.3,287700,"6,082",6.3%,488.4%,40.2%,3,19,231,Core London,South East,SE10,C,00AL
E09000011,Greenwich,2008,42,0.147 %/person,NaN,47.3,286400,"6,055",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,B,00AL
E09000011,Greenwich,2009,35,0.123 %/person,NaN,47.3,285100,"6,027",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,C,00AL
E09000011,Greenwich,2010,37,0.148 %/person,NaN,47.3,249200,"5,268",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,B,00AL
E09000011,Greenwich,2011,39,0.153 %/person,NaN,47.3,255500,"5,402",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,B,00AL
E09000011,Greenwich,2012,40,0.154 %/person,NaN,47.3,260000,"5,497",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,B,00AL
E09000011,Greenwich,2013,39,0.148 %/person,NaN,47.3,264100,"5,584",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,B,00AL
E09000011,Greenwich,2014,34,0.126 %/person,NaN,47.3,268900,"5,685",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,C,00AL
E09000011,Greenwich,2015,35,0.128 %/person,NaN,47.3,274500,"5,803",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,C,00AL
E09000011,Greenwich,2016,35,0.125 %/person,NaN,47.3,279100,"5,901",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,C,00AL
E09000011,Greenwich,2017,35,0.124 %/person,NaN,47.3,282800,"5,979",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,C,00AL
E09000011,Greenwich,2018,33,0.115 %/person,NaN,47.3,286200,"6,051",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,C,00AL
E09000011,Greenwich,2019,33,0.115 %/person,NaN,47.3,287900,"6,087",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,C,00AL
E09000011,Greenwich,2020,32,0.110 %/person,NaN,47.3,290700,"6,146",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,C,00AL
E09000011,Greenwich,2021,32,0.109 %/person,NaN,47.3,293200,"6,199",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,C,00AL
E09000011,Greenwich,2022,29,0.098 %/person,NaN,47.3,295600,"6,249",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,South East,SE10,D,00AL
E09000012,Hackney,2003,6,0.020 %/person,NaN,19.1,294100,"15,398",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,E,00AM
E09000012,Hackney,2004,12,0.041 %/person,NaN,19.1,292700,"15,325",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,E,00AM
E09000012,Hackney,2005,16,0.055 %/person,NaN,19.1,291300,"15,251",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,E,00AM
E09000012,Hackney,2006,20,0.069 %/person,NaN,19.1,289800,"15,173",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,E,00AM
E09000012,Hackney,2007,22,0.076 %/person,0.184 kg,19.1,288400,"15,099",20.9%,277.5%,47.1%,4,9,53,Core London,North East,E2,E,00AM
E09000012,Hackney,2008,23,0.080 %/person,NaN,19.1,287000,"15,026",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,E,00AM
E09000012,Hackney,2009,24,0.084 %/person,NaN,19.1,285500,"14,948",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2010,25,0.103 %/person,NaN,19.1,241700,"12,654",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2011,24,0.097 %/person,NaN,19.1,247200,"12,942",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2012,24,0.095 %/person,NaN,19.1,252200,"13,204",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2013,25,0.097 %/person,NaN,19.1,257400,"13,476",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2014,25,0.095 %/person,NaN,19.1,263100,"13,775",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2015,25,0.093 %/person,NaN,19.1,268600,"14,063",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2016,27,0.099 %/person,NaN,19.1,273200,"14,304",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2017,27,0.098 %/person,NaN,19.1,275900,"14,445",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2018,28,0.100 %/person,NaN,19.1,279700,"14,644",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2019,28,0.100 %/person,NaN,19.1,281100,"14,717",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2020,28,0.098 %/person,NaN,19.1,284300,"14,885",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2021,29,0.101 %/person,NaN,19.1,287100,"15,031",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000012,Hackney,2022,26,0.090 %/person,NaN,19.1,289800,"15,173",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,North East,E2,D,00AM
E09000013,Hammersmith and Fulham,2003,16,0.093 %/person,NaN,16.4,171300,"10,445",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,E,00AN
E09000013,Hammersmith and Fulham,2004,20,0.117 %/person,NaN,16.4,170500,"10,396",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,E,00AN
E09000013,Hammersmith and Fulham,2005,21,0.124 %/person,NaN,16.4,169600,"10,341",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,E,00AN
E09000013,Hammersmith and Fulham,2006,24,0.142 %/person,NaN,16.4,168800,"10,293",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,D,00AN
E09000013,Hammersmith and Fulham,2007,27,0.161 %/person,0.286 kg,16.4,167900,"10,238",24.4%,292.7%,128.0%,4,21,48,Core London,West,W6,D,00AN
E09000013,Hammersmith and Fulham,2008,28,0.168 %/person,NaN,16.4,166800,"10,171",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,D,00AN
E09000013,Hammersmith and Fulham,2009,27,0.163 %/person,NaN,16.4,165900,"10,116",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,D,00AN
E09000013,Hammersmith and Fulham,2010,28,0.155 %/person,NaN,16.4,180800,"11,024",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,D,00AN
E09000013,Hammersmith and Fulham,2011,30,0.164 %/person,NaN,16.4,182400,"11,122",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,C,00AN
E09000013,Hammersmith and Fulham,2012,23,0.126 %/person,NaN,16.4,182100,"11,104",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,E,00AN
E09000013,Hammersmith and Fulham,2013,21,0.116 %/person,NaN,16.4,181400,"11,061",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,E,00AN
E09000013,Hammersmith and Fulham,2014,21,0.116 %/person,NaN,16.4,181700,"11,079",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,E,00AN
E09000013,Hammersmith and Fulham,2015,22,0.121 %/person,NaN,16.4,182200,"11,110",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,E,00AN
E09000013,Hammersmith and Fulham,2016,23,0.127 %/person,NaN,16.4,181800,"11,085",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,E,00AN
E09000013,Hammersmith and Fulham,2017,24,0.131 %/person,NaN,16.4,183000,"11,159",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,D,00AN
E09000013,Hammersmith and Fulham,2018,24,0.129 %/person,NaN,16.4,185400,"11,305",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,D,00AN
E09000013,Hammersmith and Fulham,2019,26,0.140 %/person,NaN,16.4,185100,"11,287",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,D,00AN
E09000013,Hammersmith and Fulham,2020,28,0.151 %/person,NaN,16.4,186000,"11,341",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,D,00AN
E09000013,Hammersmith and Fulham,2021,26,0.139 %/person,NaN,16.4,186700,"11,384",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,D,00AN
E09000013,Hammersmith and Fulham,2022,26,0.139 %/person,NaN,16.4,187400,"11,427",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,West,W6,D,00AN
